navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 19:57:02:491,2025-04-25 19:57:02,48.000213,-177.180721,480308.78125,1745611022487,2025-04-25 19:57:02,-48.09558,-263.6712,-348.63192,439.749817700773,4
25-04-2025 19:57:12:491,2025-04-25 19:57:12,48.623755,-177.405681,480441.15625,1745611032487,2025-04-25 19:57:12,-42.48036,-268.06572,-350.58504,443.366306226183,4
25-04-2025 19:57:32:491,2025-04-25 19:57:32,49.876497,-177.872128,480701.375,1745611052487,2025-04-25 19:57:32,-32.71476,-312.01092,-318.84684,447.307922016914,4
25-04-2025 19:57:52:491,2025-04-25 19:57:52,51.120684,-178.356142,480951.375,1745611072487,2025-04-25 19:57:52,-34.91202,-365.47758,-236.57166,436.759500112238,4
25-04-2025 19:58:12:491,2025-04-25 19:58:12,52.369891,-178.865101,481192.6875,1745611092487,2025-04-25 19:58:12,-41.99208,-396.7275,-114.50166,415.050206820491,4
25-04-2025 19:58:22:491,2025-04-25 19:58:22,52.990281,-179.127161,481308.5625,1745611102486,2025-04-25 19:58:22,-48.828,-395.26266,-45.89832,400.903229911032,5
25-04-2025 19:58:42:491,2025-04-25 19:58:42,54.229639,-179.670899,481531.5,1745611122486,2025-04-25 19:58:42,-60.05844,-350.82918,85.20486,365.989068036636,5
25-04-2025 19:59:02:491,2025-04-25 19:59:02,55.473587,179.753736,481742.8125,1745611142486,2025-04-25 19:59:02,-85.93728,-266.1126,178.95462,332.002843349124,5
25-04-2025 19:59:12:491,2025-04-25 19:59:12,56.092437,179.455393,481842.96875,1745611152495,2025-04-25 19:59:12,-104.9802,-218.01702,202.39206,315.459679440597,4
25-04-2025 19:59:32:491,2025-04-25 19:59:32,57.332642,178.830868,482033,1745611172495,2025-04-25 19:59:32,-166.50348,-145.75158,193.11474,293.70092735617,4
25-04-2025 19:59:52:491,2025-04-25 19:59:52,58.567506,178.170088,482207.15625,1745611192495,2025-04-25 19:59:52,-236.32752,-145.2633,114.7458,300.19780421229,4
25-04-2025 20:00:12:491,2025-04-25 20:00:12,59.797452,177.468354,482364.625,1745611212494,2025-04-25 20:00:12,-255.37044,-232.90956,-17.82222,346.090387458126,3
25-04-2025 20:00:22:491,2025-04-25 20:00:22,60.409963,177.100877,482436.78125,1745611222494,2025-04-25 20:00:22,-227.53848,-294.67698,-95.2146,384.283882664614,3
25-04-2025 20:00:42:491,2025-04-25 20:00:42,61.632793,176.327385,482567.625,1745611242493,2025-04-25 20:00:42,-84.2283,-386.9619,-249.75522,468.200372158917,2
25-04-2025 20:00:52:491,2025-04-25 20:00:52,62.247933,175.916303,482626.5625,1745611252494,2025-04-25 20:00:52,17.82222,-393.55368,-321.77652,508.667140073527,3
25-04-2025 20:01:12:491,2025-04-25 20:01:12,63.463884,175.055221,482728.8125,1745611272493,2025-04-25 20:01:12,222.1674,-305.66328,-425.53602,569.095157843184,2
25-04-2025 20:01:22:491,2025-04-25 20:01:22,64.076723,174.594375,482772.9375,1745611282493,2025-04-25 20:01:22,303.71016,-218.5053,-449.2176,584.620286652008,2
25-04-2025 20:01:42:491,2025-04-25 20:01:42,65.287538,173.623969,482844.84375,1745611302492,2025-04-25 20:01:42,407.22552,-10.74216,-430.9071,592.98309164018,1
25-04-2025 20:02:02:491,2025-04-25 20:02:02,66.495402,172.565768,482895.46875,1745611322492,2025-04-25 20:02:02,441.8934,178.71048,-320.31168,574.288067932647,1
25-04-2025 20:02:22:491,2025-04-25 20:02:22,67.68921,171.415919,482923.75,1745611342492,2025-04-25 20:02:22,435.30162,287.35278,-143.55432,540.987026959996,1
25-04-2025 20:02:42:491,2025-04-25 20:02:42,68.883394,170.143127,482929.3125,1745611362492,2025-04-25 20:02:42,410.1552,285.88794,53.95494,502.862145995189,1
25-04-2025 20:02:52:491,2025-04-25 20:02:52,69.474376,169.460695,482923.28125,1745611372491,2025-04-25 20:02:52,395.26266,243.89586,148.68126,487.671895838383,0
25-04-2025 20:03:12:491,2025-04-25 20:03:12,70.649148,167.983271,482893.25,1745611392491,2025-04-25 20:03:12,349.36434,86.91384,289.06176,461.699208079761,0
25-04-2025 20:03:22:491,2025-04-25 20:03:22,71.237118,167.174945,482868.84375,1745611402491,2025-04-25 20:03:22,310.54608,-13.4277,326.17104,450.562668521636,0
25-04-2025 20:03:42:491,2025-04-25 20:03:42,72.395675,165.422483,482801.65625,1745611422490,2025-04-25 20:03:42,198.24168,-219.726,322.75308,437.89134430211,1
25-04-2025 20:04:02:491,2025-04-25 20:04:02,73.533728,163.452902,482709.4375,1745611442490,2025-04-25 20:04:02,20.99604,-366.21,220.21428,427.837500590586,1
25-04-2025 20:04:12:491,2025-04-25 20:04:12,74.096836,162.368227,482653.625,1745611452490,2025-04-25 20:04:12,-73.73028,-387.69432,135.4977,417.256116377496,1
25-04-2025 20:04:32:491,2025-04-25 20:04:32,75.209064,159.962416,482522.0625,1745611472490,2025-04-25 20:04:32,-249.99936,-318.6027,-59.32602,409.300546172052,1
25-04-2025 20:04:42:491,2025-04-25 20:04:42,75.754618,158.629941,482446.5,1745611482489,2025-04-25 20:04:42,-304.44258,-234.13026,-159.17928,415.740671989213,2
25-04-2025 20:05:02:491,2025-04-25 20:05:02,76.823973,155.649834,482275,1745611502489,2025-04-25 20:05:02,-292.72386,-34.42374,-338.1339,448.560794562005,2
25-04-2025 20:05:22:491,2025-04-25 20:05:22,77.850134,152.196668,482077.5625,1745611522489,2025-04-25 20:05:22,-138.18324,91.06422,-477.53784,505.40052296468,2
25-04-2025 20:05:32:491,2025-04-25 20:05:32,78.351094,150.233016,481967.5,1745611532489,2025-04-25 20:05:32,-36.37686,99.12084,-524.16858,534.697033024293,2
25-04-2025 20:05:52:491,2025-04-25 20:05:52,79.300375,145.832913,481729.125,1745611552489,2025-04-25 20:05:52,159.17928,2.4414,-560.78958,582.948502572787,2
25-04-2025 20:06:12:491,2025-04-25 20:06:12,80.184597,140.600837,481461.5625,1745611572488,2025-04-25 20:06:12,291.25902,-172.60698,-500.97528,604.649665051722,3
25-04-2025 20:06:22:491,2025-04-25 20:06:22,80.591806,137.650961,481318.03125,1745611582488,2025-04-25 20:06:22,331.78626,-260.98566,-435.7899,606.719435977152,3
25-04-2025 20:06:32:491,2025-04-25 20:06:32,80.972419,134.45547,481167.84375,1745611592488,2025-04-25 20:06:32,357.6651,-335.93664,-348.63192,601.931861173161,3
25-04-2025 20:06:52:491,2025-04-25 20:06:52,81.645943,127.217929,480844.875,1745611612488,2025-04-25 20:06:52,374.7549,-415.038,-131.34732,574.412652184118,3
25-04-2025 20:07:12:491,2025-04-25 20:07:12,82.16708,118.952676,480496.71875,1745611632487,2025-04-25 20:07:12,365.96586,-381.34668,95.94702,537.179794556201,4
25-04-2025 20:07:22:491,2025-04-25 20:07:22,82.364978,114.39084,480310,1745611642487,2025-04-25 20:07:22,349.60848,-320.31168,195.06786,512.715448994189,4
25-04-2025 20:07:42:491,2025-04-25 20:07:42,82.60859,104.797068,479919.78125,1745611662486,2025-04-25 20:07:42,285.6438,-142.33362,331.78626,460.362207599116,5
25-04-2025 20:08:02:491,2025-04-25 20:08:02,82.640638,94.83439,479501.78125,1745611682486,2025-04-25 20:08:02,165.03864,57.61704,363.28032,403.150179078112,5
25-04-2025 20:08:22:491,2025-04-25 20:08:22,82.457575,85.054269,479055.90625,1745611702486,2025-04-25 20:08:22,-22.46088,192.8706,302.48946,359.448790352431,5
25-04-2025 20:08:42:491,2025-04-25 20:08:42,82.072339,75.937859,478581.3125,1745611722496,2025-04-25 20:08:42,-201.90378,221.92326,135.25356,329.102712234326,5
