navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 12:04:12:521,2025-04-25 12:04:12,42.285913,-57.477299,478946.84375,1745582652517,2025-04-25 12:04:12,-235.10682,-32.22648,70.06818,247.433450996859,4
25-04-2025 12:04:22:521,2025-04-25 12:04:22,42.911316,-57.66836,479088.09375,1745582662517,2025-04-25 12:04:22,-249.75522,-41.99208,89.59938,268.642985384616,4
25-04-2025 12:04:42:521,2025-04-25 12:04:42,44.170564,-58.062721,479370.84375,1745582682516,2025-04-25 12:04:42,-255.37044,-42.48036,101.07396,277.911115289772,5
25-04-2025 12:04:52:521,2025-04-25 12:04:52,44.795676,-58.263576,479510.09375,1745582692516,2025-04-25 12:04:52,-211.1811,-36.621,93.50562,233.841518148071,5
25-04-2025 12:05:12:521,2025-04-25 12:05:12,46.051799,-58.678162,479786.9375,1745582712516,2025-04-25 12:05:12,-276.12234,-35.4003,46.87488,282.301226108177,5
25-04-2025 12:05:22:521,2025-04-25 12:05:22,46.675843,-58.889912,479922.6875,1745582722525,2025-04-25 12:05:22,-243.16344,-50.53698,90.3318,264.276898330887,4
25-04-2025 12:05:42:521,2025-04-25 12:05:42,47.931044,-59.328382,480191.40625,1745582742516,2025-04-25 12:05:42,-260.98566,-23.1933,68.3592,270.784829920669,5
25-04-2025 12:05:52:521,2025-04-25 12:05:52,48.554667,-59.55287,480322.5,1745582752525,2025-04-25 12:05:52,-283.2024,-53.46666,48.09558,292.190807372258,4
25-04-2025 12:06:02:521,2025-04-25 12:06:02,49.184769,-59.784441,480453.125,1745582762525,2025-04-25 12:06:02,-276.61062,-15.38082,90.08766,291.31733763189,4
25-04-2025 12:06:22:521,2025-04-25 12:06:22,50.430562,-60.257329,480705.375,1745582782525,2025-04-25 12:06:22,-285.39966,-55.66392,60.54672,297.01404549388,4
25-04-2025 12:06:32:521,2025-04-25 12:06:32,51.052471,-60.501365,480828,1745582792524,2025-04-25 12:06:32,-275.63406,-29.78508,39.30654,280.011232113038,3
25-04-2025 12:06:42:521,2025-04-25 12:06:42,51.680152,-60.753419,480949.375,1745582802524,2025-04-25 12:06:42,-259.03254,-28.0761,53.22252,265.929992301004,3
25-04-2025 12:07:02:521,2025-04-25 12:07:02,52.921696,-61.270198,481181.75,1745582822524,2025-04-25 12:07:02,-285.39966,-36.13272,40.2831,290.484539224249,3
25-04-2025 12:07:12:521,2025-04-25 12:07:12,53.547273,-61.540414,481294.6875,1745582832523,2025-04-25 12:07:12,-300.2922,-42.7245,29.78508,304.775227457378,2
25-04-2025 12:07:32:521,2025-04-25 12:07:32,54.786327,-62.096842,481509.40625,1745582852523,2025-04-25 12:07:32,-299.80392,-38.57412,8.30076,302.38924550605,2
25-04-2025 12:07:52:521,2025-04-25 12:07:52,56.025491,-62.684239,481711.375,1745582872523,2025-04-25 12:07:52,-301.75704,-60.54672,33.69132,309.60995064058,2
25-04-2025 12:08:12:521,2025-04-25 12:08:12,57.26404,-63.305916,481899.34375,1745582892523,2025-04-25 12:08:12,-302.24532,-33.69132,58.10532,309.618421153437,2
25-04-2025 12:08:22:521,2025-04-25 12:08:22,57.878565,-63.628492,481987.09375,1745582902523,2025-04-25 12:08:22,-288.32934,-10.49802,47.85144,292.461582158802,2
25-04-2025 12:08:42:521,2025-04-25 12:08:42,59.113402,-64.307973,482151.75,1745582922522,2025-04-25 12:08:42,-317.382,-22.21674,20.26362,318.803280653967,1
25-04-2025 12:09:02:521,2025-04-25 12:09:02,60.345602,-65.032212,482299.59375,1745582942522,2025-04-25 12:09:02,-331.54212,-22.70502,-11.47458,332.516708232039,1
25-04-2025 12:09:12:521,2025-04-25 12:09:12,60.958544,-65.411574,482366.6875,1745582952522,2025-04-25 12:09:12,-297.36252,-3.90624,35.4003,299.487743074367,1
25-04-2025 12:09:22:521,2025-04-25 12:09:22,61.568029,-65.802534,482428.96875,1745582962522,2025-04-25 12:09:22,-341.796,-16.35738,19.77534,342.758126918356,1
25-04-2025 12:09:42:521,2025-04-25 12:09:42,62.790762,-66.632074,482540.09375,1745582982521,2025-04-25 12:09:42,-340.08702,-26.61126,-23.43744,341.930773585856,0
25-04-2025 12:10:02:521,2025-04-25 12:10:02,64.008954,-67.52601,482631.5625,1745583002521,2025-04-25 12:10:02,-294.92112,-0.24414,25.39056,296.012174012333,0
25-04-2025 12:10:12:521,2025-04-25 12:10:12,64.620078,-68.003078,482669.875,1745583012521,2025-04-25 12:10:12,-333.00696,-14.89254,18.3105,333.84232440831,0
25-04-2025 12:10:32:521,2025-04-25 12:10:32,65.824732,-69.006965,482730,1745583032520,2025-04-25 12:10:32,-338.1339,-18.06636,-37.8417,340.724114133047,1
25-04-2025 12:10:42:521,2025-04-25 12:10:42,66.431397,-69.547937,482752.25,1745583042520,2025-04-25 12:10:42,-323.97378,-31.00578,-20.99604,326.130652065362,1
25-04-2025 12:11:02:521,2025-04-25 12:11:02,67.627411,-70.694015,482779.71875,1745583062520,2025-04-25 12:11:02,-318.84684,-16.60152,-14.40426,319.603505222398,1
25-04-2025 12:11:22:521,2025-04-25 12:11:22,68.820884,-71.95911,482784.5,1745583082519,2025-04-25 12:11:22,-322.2648,-18.79878,-11.96286,323.034217178162,2
25-04-2025 12:11:42:521,2025-04-25 12:11:42,70.006222,-73.359271,482765.6875,1745583102519,2025-04-25 12:11:42,-313.7199,-32.22648,-27.34368,316.553942488706,2
25-04-2025 12:12:02:521,2025-04-25 12:12:02,71.17178,-74.904991,482723.0625,1745583122518,2025-04-25 12:12:02,-367.91898,-15.38082,-32.9589,369.712367330771,3
25-04-2025 12:12:12:521,2025-04-25 12:12:12,71.756813,-75.75539,482692.1875,1745583132519,2025-04-25 12:12:12,-336.9132,-39.30654,-54.68736,343.578543807353,2
25-04-2025 12:12:22:521,2025-04-25 12:12:22,72.333547,-76.649838,482655.3125,1745583142518,2025-04-25 12:12:22,-329.10072,-12.69528,-32.22648,330.918419027994,3
25-04-2025 12:12:42:521,2025-04-25 12:12:42,73.472591,-78.606298,482562.8125,1745583162518,2025-04-25 12:12:42,-325.68276,-26.12298,-10.00974,326.882035511537,3
25-04-2025 12:13:02:521,2025-04-25 12:13:02,74.597441,-80.839968,482444.125,1745583182518,2025-04-25 12:13:02,-355.2237,-1.70898,-83.25174,364.852915388322,3
25-04-2025 12:13:22:521,2025-04-25 12:13:22,75.700517,-83.405045,482298.90625,1745583202517,2025-04-25 12:13:22,-344.48154,2.92968,-28.56438,345.676204316205,4
25-04-2025 12:13:32:521,2025-04-25 12:13:32,76.237253,-84.821141,482216.9375,1745583212517,2025-04-25 12:13:32,-333.98352,-9.7656,-30.5175,335.517028451911,4
25-04-2025 12:13:52:521,2025-04-25 12:13:52,77.289178,-88.004091,482032.25,1745583232517,2025-04-25 12:13:52,-366.21,-23.43744,-80.07792,375.594929365773,4
25-04-2025 12:14:12:521,2025-04-25 12:14:12,78.296774,-91.715842,481821,1745583252516,2025-04-25 12:14:12,-367.91898,-12.207,-76.9041,376.068647044726,5
